hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
107,Fri,11,285.0072048,1028.6819184,1605.7395168,431.3997944,748.4328984,353.4856384,2684.5391896,786.1668272,1670.8576504,2717.4790904,287.3370128
108,Fri,12,267.166252,1020.5275904,1599.7178592,401.4259184,741.595808,326.4150616,2625.3262232,782.009016,1591.4111976,2713.4108872,259.6122976
109,Fri,13,251.932892,978.026516,1592.7105136,366.2547784,733.620696,312.8304888,2637.6383624,765.1537512,1601.9759808,2588.1209816,244.7463304
110,Fri,14,245.3287824,933.4286144,1566.8317232,346.5320576,691.8454464,298.2333456,2680.488908,761.6321568,1585.5508344,2604.00848,239.566988
111,Fri,15,240.7587744,985.9030592,1541.795248,344.31874,700.8868936,287.8925824,2725.2660256,769.4459744,1636.0807856,2576.6421968,234.0829784
112,Fri,16,240.0329496,1079.7047136,1570.6131808,374.919872,749.8487048,300.6169184,2803.3952408,797.4305528,1656.359076,2595.8183088,235.6152752
113,Fri,17,244.1818,1160.558012,1562.6111864,429.849576,794.1150568,308.206716,2805.9490688,831.3023768,1692.605512,2655.5689232,246.7266672
114,Fri,18,249.9794376,1159.8949128,1531.2125432,482.4853152,787.0181032,319.00448,2820.7791928,854.4750056,1683.8418496,2646.5453976,246.780432
115,Fri,19,250.6066936,1135.2079088,1503.308612,462.1622208,758.2718568,326.4688264,2784.971836,831.6697696,1670.0422176,2585.7194872,251.260832
116,Fri,20,240.9200688,1122.9764168,1459.6963984,429.2312808,708.3333184,322.1138776,2726.1979488,781.874604,1608.8578752,2529.8488992,244.1638784
117,Fri,21,229.2351856,1021.1369248,1398.4314088,381.8376096,648.5558216,299.9000544,2628.0413456,704.9730184,1512.6547264,2425.3928536,233.8231152
118,Fri,22,218.4553432,916.4927024,1249.80758,327.5799656,578.9752096,271.96028,2449.8199944,631.3152424,1365.0165856,2188.585792,204.3779264
